probe_id	tumor_mean_beta	normal_mean_beta	delta_beta	tumor_n	normal_n	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand	genes_all	gene_nearest	dist_to_tss	functional_region	is_promoter	cgi_relation	cgi_id	predicted_expression_effect	mechanics_basis
cg25547580	0.592707425393588	0.1109132176821993	0.4817942077113886	791	97	1.8832193772082785e-96	5.1141422893769706e-95	0.4817942077113886	hypermethylated	ONECUT2	chr18	57436501.0	57436503.0	-	ONECUT2	ONECUT2	1128.0	gene_body	False	Island	CGI:chr18:57434732-57441621	ambiguous	non_promoter_or_intergenic
cg13804575	0.6872438294081965	0.2056194124995051	0.4816244169086914	586	37	1.2379167301615904e-135	1.342529142171692e-133	0.4816244169086914	hypermethylated	ZNF462	chr9	106864717.0	106864719.0	-	ZNF462	ZNF462	1552.0	gene_body	False	S_Shelf	CGI:chr9:106860143-106860922	ambiguous	non_promoter_or_intergenic
cg18675097	0.7181902667213179	0.2369632524313386	0.4812270142899793	791	97	7.59625007005243e-77	1.1501410318915827e-75	0.4812270142899793	hypermethylated	NKAPL	chr6	28259348.0	28259350.0	-	NKAPL	NKAPL	52.0	5UTR_1stExon	True	Island	CGI:chr6:28259201-28259705	silencing	promoter_hypermethylation
cg17239057	0.7084625630439082	0.227261985700155	0.4812005773437531	790	97	2.6964467087140256e-86	5.34811350458458e-85	0.4812005773437531	hypermethylated	AC092809.3,DEGS1	chr1	224175872.0	224175874.0	-	AC092809.3;DEGS1	DEGS1	117.0	5UTR_1stExon	True	OpenSea		silencing	promoter_hypermethylation
cg09578475	0.6485821787837784	0.1689797234289425	0.4796024553548359	791	97	1.64013048971567e-74	2.3294499529380256e-73	0.4796024553548359	hypermethylated	ZNF177,ZNF559-ZNF177	chr19	9363011.0	9363013.0	-	ZNF177;ZNF559-ZNF177	ZNF177	-8.0	TSS200	True	Island	CGI:chr19:9362913-9363325	silencing	promoter_hypermethylation
cg26132320	0.5949820073606392	0.1155014038085937	0.4794806035520454	791	97	1.0118481530330025e-146	1.6989769661736038e-144	0.4794806035520454	hypermethylated	MMP9	chr20	46011713.0	46011715.0	-	MMP9	MMP9	2806.0	gene_body	False	Island	CGI:chr20:46011649-46012571	ambiguous	non_promoter_or_intergenic
cg14861089	0.5732791562623616	0.0946089459448745	0.478670210317487	790	97	5.82591278292517e-126	4.412542150483363e-124	0.478670210317487	hypermethylated	TLX1	chr10	101135285.0	101135287.0	+	TLX1	TLX1	972.0	gene_body	False	Island	CGI:chr10:101133903-101135302	ambiguous	non_promoter_or_intergenic
cg19760241	0.6582212037678006	0.1798473633441728	0.4783738404236277	790	97	1.1586591091022987e-70	1.4762422003827466e-69	0.4783738404236277	hypermethylated	AC243773.1,LHX1	chr17	36942712.0	36942714.0	-	AC243773.1;LHX1	LHX1	415.0	5UTR_1stExon	True	Island	CGI:chr17:36934599-36943576	silencing	promoter_hypermethylation
cg06355129	0.636099618348483	0.158548364934233	0.47755125341425	789	97	1.609962231138228e-120	1.000262075838808e-118	0.47755125341425	hypermethylated	NES	chr1	156676500.0	156676502.0	-	NES	NES	907.0	gene_body	False	Island	CGI:chr1:156676500-156677468	ambiguous	non_promoter_or_intergenic
cg20286956	0.7192588363155242	0.2417959570884704	0.4774628792270537	775	96	3.301349133126794e-94	8.346306891082171e-93	0.4774628792270537	hypermethylated	MACF1	chr1	39082245.0	39082247.0	+	MACF1	MACF1	829.0	gene_body	False	Island	CGI:chr1:39080967-39082287	ambiguous	non_promoter_or_intergenic
cg07489502	0.5755164123621	0.0981807106419613	0.4773357017201387	711	95	3.5184875352269143e-190	4.3836815381939257e-187	0.4773357017201387	hypermethylated	PCDHGA1,PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6;PCDHGB7	chr5	141432074.0	141432076.0	-	PCDHGA1;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6;PCDHGB7	PCDHGA12	1486.0	gene_body	False	Island	CGI:chr5:141430927-141433050	ambiguous	non_promoter_or_intergenic
cg11157172	0.4367318850511696	0.9130646725918384	-0.4763327875406688	684	94	6.2101430645517705e-198	1.1419992080723381e-194	0.4763327875406688	hypomethylated	PRDM16	chr1	3293852.0	3293854.0	+	PRDM16	PRDM16	49721.0	gene_body	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg11030264	0.698453260977057	0.2225920097115113	0.4758612512655455	790	97	3.287802789406978e-76	4.894615137194933e-75	0.4758612512655455	hypermethylated		chr17	57136294.0	57136296.0	+				intergenic	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg11957331	0.518041019946073	0.0423324771763123	0.4757085427697606	791	97	4.8589354008624336e-210	2.10944919834926e-206	0.4757085427697606	hypermethylated	TMEM145	chr19	42324003.0	42324005.0	-	TMEM145	TMEM145	10627.0	gene_body	False	Island	CGI:chr19:42323591-42324997	ambiguous	non_promoter_or_intergenic
cg20494374	0.7171845027378627	0.2422609726587931	0.4749235300790696	560	48	6.089456969581684e-37	3.193628054060503e-36	0.4749235300790696	hypermethylated		chr6	27557898.0	27557900.0	+				intergenic	False	OpenSea		ambiguous	non_promoter_or_intergenic
